,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime,Latitude,Longitude,GbProv_x,Prov_CH_x,ProvEN,Total,三级甲等医院,专科医院,传染病医院,医疗保健服务场所,卫生院,口腔医院,妇科医院,急救中心,整形美容,疾病预防,眼科医院,精神病医院,综合医院,耳鼻喉医院,肿瘤医院,胸科医院,脑科医院,诊所,骨科医院,Unnamed: 0_y,Population,Land_Area_mi2,Temperature_03_12
30,30,30,171,辽宁省,Liaoning,21,葫芦岛,Huludao,211400.0,121,0,93,1,12,0,6,1,10:54.4,40.71736444,120.8433983,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,49.0,"775,000",4021.0,268.84
31,31,31,172,辽宁省,Liaoning,21,朝阳,Chaoyang,211300.0,121,0,93,1,6,0,3,0,10:54.4,41.57982086,120.4574995,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,48.0,"539,000",7605.0,266.04
32,32,32,173,辽宁省,Liaoning,21,沈阳,Shenyang,210100.0,121,0,93,1,28,0,23,0,10:54.4,41.68383007,123.4710966,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,36.0,"7,220,000",4997.0,265.03
33,33,33,174,辽宁省,Liaoning,21,大连,Dalian,210200.0,121,0,93,1,19,0,12,0,10:54.4,38.91895367,121.6216315,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,37.0,"5,618,000",5111.0,272.17
34,34,34,175,天津市,Tianjin,12,河西区,Hexi,120103.0,136,0,102,3,4,0,4,0,08:53.7,39.11571808,117.2294163,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
35,35,35,176,天津市,Tianjin,12,东丽区,Dongli,120110.0,136,0,102,3,4,0,4,0,08:53.7,39.09233234,117.3205685,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
36,36,36,177,天津市,Tianjin,12,津南区,Jinnan,120112.0,136,0,102,3,2,0,1,0,08:53.7,38.94414857,117.3633868,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
37,37,37,179,天津市,Tianjin,12,和平区,Heping,120101.0,136,0,102,3,6,0,5,0,08:53.7,39.12339025,117.221467,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
38,38,38,180,天津市,Tianjin,12,北辰区,Beichen,120113.0,136,0,102,3,6,0,3,0,08:53.7,39.23034391,117.1414027,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
39,39,39,181,天津市,Tianjin,12,宁河区,Ninghe,120117.0,136,0,102,3,4,0,1,0,08:53.7,39.33695643,117.8323933,12,天津市,Tianjin,4498,229,8.0,12,860,750,814,34,41,131,62,68,7.0,638,10.0,17.0,25.0,6,735,51,,,,274.63
